Title;Views;views_numeric;Date;Duration;hours;minutes;seconds;hours;minutes;seconds
Schwebebahn mit Hochtemperatur-Supraleitung ; 146,000;146000;13 years;3 minutes, 52 seconds;0;3 minutes;52 seconds;0;3;52
Discover the University of Zurich in 100 seconds ; 128,789;128789;7 years;1 minute, 43 seconds;0;1 minute;43 seconds;0;1;43
University of Zurich - Universität Zürich - UZH ; 66,676;66676;9 years;1 minute, 8 seconds;0;1 minute;8 seconds;0;1;8
Zwischenbericht Covid-19-Forschung: Gründe für schwere Krankheitsverläufe ; 24,146;24146;4 years;6 minutes, 6 seconds;0;6 minutes;6 seconds;0;6;6
What is UZH for you? ; 23,220;23220;5 years;2 minutes, 49 seconds;0;2 minutes;49 seconds;0;2;49
Roboter Roboy ; 22,497;22497;12 years;6 minutes, 19 seconds;0;6 minutes;19 seconds;0;6;19
Hochsicherheitslabor der Universität Zürich ; 21,510;21510;13 years;5 minutes, 56 seconds;0;5 minutes;56 seconds;0;5;56
Erwin Schrödinger - Nobel Prize in Physics 1933 ; 20,843;20843;4 years;5 minutes, 7 seconds;0;5 minutes;7 seconds;0;5;7
Mathegenies ; 17,617;17617;13 years;4 minutes, 21 seconds;0;4 minutes;21 seconds;0;4;21
The Center of Dental Medicine in Zürich (ZZM) ; 14,487;14487;7 years;3 minutes, 1 second;0;3 minutes;1 second;0;3;1
Zahnmedizin Studieren in Zürich ; 13,618;13618;7 years;2 minutes, 22 seconds;0;2 minutes;22 seconds;0;2;22
Talk im Turm: Dunkle Materie und Einsteins Wellen ; 13,201;13201;8 years;1 hour, 12 minutes;1 hour;12 minutes;0;1;12;0
Der flexible Schweif des Prions vergiftet die Hirnzellen ; 12,586;12586;11 years;5 minutes, 48 seconds;0;5 minutes;48 seconds;0;5;48
Nanopartikel schädigen den Darm ; 10,732;10732;7 years;1 minute, 48 seconds;0;1 minute;48 seconds;0;1;48
Studieninformationstage UZH ; 9,983;9983;8 years;4 minutes, 23 seconds;0;4 minutes;23 seconds;0;4;23
Studium und Behinderung ; 9,687;9687;11 years;5 minutes, 45 seconds;0;5 minutes;45 seconds;0;5;45
Albert Einstein - Nobel Prize in Physics 1921 ; 9,198;9198;4 years;4 minutes, 53 seconds;0;4 minutes;53 seconds;0;4;53
Zwischenbericht Covid-19-Forschung: Antikörpertests und ein möglicher Speicheltest ; 8,558;8558;4 years;6 minutes, 41 seconds;0;6 minutes;41 seconds;0;6;41
Bissige Hunde ; 7,254;7254;13 years;4 minutes, 53 seconds;0;4 minutes;53 seconds;0;4;53
Aufgefallen: UniGag ; 6,717;6717;5 years;5 minutes, 56 seconds;0;5 minutes;56 seconds;0;5;56
Superhydrophobic Surfaces ; 6,595;6595;13 years;2 minutes;0;2 minutes;0;0;2;0
Talk im Turm: Kreativität. Wie wir auf neue Ideen kommen. ; 6,584;6584;9 years;1 hour, 12 minutes;1 hour;12 minutes;0;1;12;0
Lernen an der Uni ; 5,909;5909;2 years;3 minutes, 57 seconds;0;3 minutes;57 seconds;0;3;57
Lehre an der UZH: Dentalassistent*in ; 5,833;5833;2 years;4 minutes, 14 seconds;0;4 minutes;14 seconds;0;4;14
A German colony in Ghana? The Atlantic slave trade and the fortress of Grossfriedrichsburg. ; 5,549;5549;5 years;4 minutes, 3 seconds;0;4 minutes;3 seconds;0;4;3
Aufgefallen: UZH-Alumna Dominique Rinderknecht ; 4,968;4968;5 years;3 minutes;0;3 minutes;0;0;3;0
FORUM UZH: Herzog & de Meuron gewinnen den Projektwettbewerb ; 4,951;4951;5 years;5 minutes, 17 seconds;0;5 minutes;17 seconds;0;5;17
Talk im Turm: Besser leben ; 4,656;4656;12 years;1 hour, 22 minutes;1 hour;22 minutes;0;1;22;0
